,gene_group,associated_uniprot_IDs,associated_reactions
201,b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738;b3739,P0A6E6;P0ABB4;P0ABA6;P0ABB0;P0ABA4;P0ABA0;P68699;P0AB98;P0ABC0,ATPS4rpp
202,b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738,P0A6E6;P0ABB4;P0ABA6;P0ABB0;P0ABA4;P0ABA0;P68699;P0AB98,ATPS4rpp
203,b0312,P17445,BETALDHx;BETALDHy
204,b1734,P17411,BGLA1;MC6PH
205,b0827,P12281,BMOCOS;BWCOS;MOCOS;WCOS
206,b3857,P32173,BMOGDS1;BMOGDS2;BWCOGDS1;BWCOGDS2;MOGDS
207,b3856;b3857,P32125;P32173,BMOGDS1;BMOGDS2;BWCOGDS1;BWCOGDS2;MOGDS
208,b4214,P22255,BPNT
209,b3551,P20099,BSORx;BSORy
210,b0775,P12996,BTS5
211,b1732,P21179,CAT
212,b3942,P13029,CAT
213,b1270,P0A9H5,CBIAT;CBLAT
214,b0521,P37306,CBMKr
215,b0032;b0033,P0A6F1;P00968,CBPS
216,b0444,P77756,CCGS
217,b3918,P06282,CDAPPA120;CDAPPA140;CDAPPA141;CDAPPA160;CDAPPA161;CDAPPA180;CDAPPA181
218,b2794,Q46920,CDGR
219,b2503,P77172,CDGUNPD
220,b1489,P76129,CDGUNPD;PDE1;PDE4
221,b3525,P37646,CDGUNPD
222,b1285,P77334,CDGUNPD;LDGUNPD
223,b0315,P21514,CDGUNPD
224,b1208,P62615,CDPMEK
225,b3614,P37691,CDPPH;NDP3;NDP7
226,b1661,P0A9H7,CFAS160E;CFAS160G;CFAS180E;CFAS180G
227,b0311,P17444,CHOLD
228,b1619,P0AET8,CHOLID
229,b2599,P0A9J8,CHORM;PPNDH
230,b2600,P07023,CHORM;PPND
231,b2329,P12008,CHORS
232,b2538;b2539;b2540;b2542,P0ABR5;Q47140;P0ABW0;P77650,CINNDO;PPPNDO
233,b0614;b0615;b0616;b0617,P0A6G5;P75726;P0A9I1;P69330,CITL
234,b0789,P0AA84,CLPNS120pp;CLPNS140pp;CLPNS141pp;CLPNS160pp;CLPNS161pp;CLPNS180pp;CLPNS181pp
235,b1249,P0A6H8,CLPNS120pp;CLPNS140pp;CLPNS141pp;CLPNS160pp;CLPNS161pp;CLPNS180pp;CLPNS181pp
236,b2174,P76445,COLIPAKpp
237,b2765,P65870,CPH4S
238,b4098,P16688,CPL
239,b0781;b0783,P30745;P0A738,CPMPS
240,b2436,P36553,CPPPGO
241,b3867,P32131,CPPPGO2
242,b0038,P31572,CRNBTCT;CRNCBCT
243,b0037,P31552,CRNCAL2;CRNDCAL2;CTBTCAL2
244,b0036,P31551,CRNCAR;CRNCDH
245,b0720,P0ABH7,CS
246,b0337,P25524,CSND
247,b3846,P21177,CTECOAI6;CTECOAI7;CTECOAI8;ECOAH1;ECOAH2;ECOAH3;ECOAH4;ECOAH5;ECOAH6;ECOAH7;ECOAH8;HACD1;HACD2;HACD3;HACD4;HACD5;HACD6;HACD7;HACD8
248,b2780,P0A7E5,CTPS2
249,b1449,P76113,CURR;DHCURR
250,b1870,P76290,CXSAMS
251,b3425,P0A6V5,CYANST
252,b2668,P55734,CYANST
253,b2521,P31142,CYANST;MCPST
254,b0340,P00816,CYNTAH
255,b1919,P76316,CYSDDS
256,b3008,P06721,CYSDS;CYSTL
257,b3708,P0A853,CYSDS;SERD_L;TRPAS2
258,b2421,P16703,CYSS
259,b2414,P0ABK5,CYSS
260,b2810,Q46925,CYSSADS
261,b1680,P77444,CYSSADS
262,b1622,P23256,CYSTL
263,b0978;b0979,P26459;P26458,CYTBD2pp;CYTBDpp
264,b0733;b0734;b4515,P0ABJ9;P0ABK2;P56100,CYTBDpp
265,b0429;b0430;b0431;b0432,P0ABJ6;P0ABJ3;P0ABI8;P0ABJ1,CYTBO3_4pp
266,b2143,P0ABF6,CYTD;DCYTD
267,b2162,P33022,CYTDH;URIH
268,b0651,P41409,CYTDH;URIH
269,b2066,P0A8F4,CYTDK1;CYTDK2;URIK1;URIK2
270,b0910,P0A6I0,CYTK1;CYTK2;UMPK
271,b1189,P0A6J5,DAAD
272,b4042,P0ABN1,DAGK120;DAGK140;DAGK141;DAGK160;DAGK161;DAGK180;DAGK181
273,b2871,P66899,DAPAL
274,b2838,P00861,DAPDC
275,b3809,P0A6K1,DAPE
276,b0175,P0ABG1,DASYN120;DASYN140;DASYN141;DASYN160;DASYN161;DASYN180;DASYN181
277,b3041,P0A7J0,DB4PS
278,b0778,P13000,DBTS
279,b1733,P37794,DC6PDA
280,b2065,P28248,DCTPD
281,b3693,P31459,DDGALK
282,b3526,P37647,DDGLK
283,b2601,P00888,DDPA
284,b0754,P0AB91,DDPA
285,b1704,P00887,DDPA
286,b4477,Q6BF16,DDPGALA
287,b3648,P60546,DGK1;GK1
288,b1341,P77302,DGUNC
289,b1794,P76245,DGUNC
290,b1535,P31129,DGUNC
291,b1025,P75908,DGUNC
292,b1490,P0AA89,DGUNC
293,b1393,P76082,DHACOAH
294,b3771,P05791,DHAD1;DHAD2
295,b1198;b1199;b1200;b2415;b2416,P37349;P76014;P76015;P0AA04;P08839,DHAPT
296,b0596,P15047,DHBD
297,b0594,P10378,DHBS
298,b2541,P0CI31,DHCIND;DHPPD
299,b0348,P0ABR9,DHCINDO;HPPPNDO
300,b0031,P04036,DHDPRy
301,b2478,P0A6L2,DHDPS
302,b1606,P0AFS3,DHFR;DHMPTR
303,b0048,P0ABQ4,DHFR
304,b2315,P08192,DHFS
305,b3930,P32166,DHNAOT4
306,b2262,P0ABU0,DHNCOAS
307,b1686,P77781,DHNCOAT
308,b3058,P0AC16,DHNPA2r;DHNPTE
309,b0945,P0A7E1,DHORD2;DHORD5
310,b1062,P05020,DHORTS
311,b3177,P0AC13,DHPS2
312,b0578,P38489,DHPTDNR;DHPTDNRN
313,b2303,P0AC19,DHPTPE
314,b3389,P07639,DHQS
315,b1693,P05194,DHQTi
316,b0421,P22939,DMATT;GRTT
317,b0029,P62623,DMPPS;IPDPS
318,b2232,P17993,DMQMT;OHPHM
319,b1587;b1588;b1589;b1590,P77374;P77783;P0AAJ1;P76173,DMSOR1;TMAOR1
320,b0894;b0895;b0896,P18775;P18776;P18777,DMSOR1;DMSOR2;TMAOR1;TMAOR2
321,b1872;b1873,P46923;P52005,DMSOR1pp;DMSOR2pp;TMAOR1pp;TMAOR2pp
322,b1865,P0AFC0,DNTPPA;NTPP5
323,b0099,P08337,DNTPPA;NTPP1;NTPP2
324,b3575,P37672,DOGULNR
325,b0103,P0A6I9,DPCOAK
326,b0425,P0A9J4,DPR
327,b3774,P05793,DPR;KARA1;KARA2
328,b4381,P0A6L0,DRPA
329,b1185;b3860,P0A6M2;P0AEG4,DSBAO1;DSBAO2
330,b2893,P0AEG6,DSBCGT
331,b2582;b4136,P0AGG4;P36655,DSBDR
332,b3781;b4136,P0AA25;P36655,DSBDR
333,b0604,P77202,DSBGGT
334,b4122,P14407,DTARTD;FUM
335,b1098,P0A720,DTMPK
336,b2146;b2147,P76440;P25889,DURADx
337,b1238,P23331,DURIK1;TMDK1
338,b4382,P07650,DURIPP;TMDPP
339,b4384,P0ABP8,DURIPP;PUNP1;PUNP2;PUNP3;PUNP4;PUNP5;PUNP6
340,b3640,P06968,DUTPDP
341,b2251,P52006,DUTPDP;NTPP3;NTPP7
342,b0173,P45568,DXPRIi
343,b0420,P77488,DXPS
344,b3564,P09099,DXYLK;XYLK
345,b0269,P77596,DXYLTD
346,b4297,P39358,DXYLTD
347,b2927,P0A9B6,E4PD
348,b1779,P0A9B2,E4PD;GAPD;NADHHR;NADHHS;NADPHHR;NADPHHS
349,b0822,P75792,E4PP;F1PP;F6PP;G3PT;G6PP;MN6PP;R5PP
350,b1288,P0AEK4,EAR100x;EAR100y;EAR120x;EAR120y;EAR121x;EAR121y;EAR140x;EAR140y;EAR141x;EAR141y;EAR160x;EAR160y;EAR161x;EAR161y;EAR180x;EAR180y;EAR181x;EAR181y;EAR40x;EAR40y;EAR60x;EAR60y;EAR80x;EAR80y;EGMEACPR;EPMEACPR
351,b3622,P27243,ECA4OALpp;O16A4Lpp
352,b3785;b3793,P0AG00;P27835,ECAP1pp;ECAP2pp;ECAP3pp
353,b3792,P0AAA7,ECAtpp
354,b2341,P77399,ECOAH1;ECOAH2;ECOAH3;ECOAH4;ECOAH5;ECOAH6;ECOAH7;ECOAH8;HACD1;HACD2;HACD3;HACD4;HACD5;HACD6;HACD7;HACD8
355,b1850,P0A955,EDA;OAADC
356,b1851,P0ADF6,EDD
357,b1054,P0ACV0,EDTXS1
358,b1855,P24205,EDTXS2;EDTXS4
359,b2378,P0ACV2,EDTXS3
360,b2779,P0A6P9,ENO
361,b0583,P19925,ENTCS
362,b2440;b2441,P19636;P0AEJ6,ETHAAL
363,b3697,P0A8Y5,F1PP;F6PP;FBP;G1PP;MN6PP;R5PP
364,b0825,P78055,F6PA
365,b3946,P32669,F6PA
366,b0404,P21515,FA100ACPHi;FA120ACPHi;FA140ACPHi;FA141ACPHi;FA160ACPHi;FA161ACPHi;FA80ACPHi
367,b0452,P0AGG2,FACOAE100;FACOAE120;FACOAE140;FACOAE141;FACOAE160;FACOAE161;FACOAE180;FACOAE181;FACOAE60;FACOAE80
368,b3844,P0AEN1,FADRx;FE3Ri;FLVR;FLVRx;FMNRx;FMNRx2
369,b2763;b2764,P17846;P38038,FADRx2;FLVR;FMNRx2;SULR
370,b0356,P25437,FALDH2
371,b2925,P0AB71,FBA;FBA3
372,b2097,P0A991,FBA
373,b4232,P0A993,FBP
374,b3925,P0A9C9,FBP
375,b2930,P21437,FBP
376,b2803,P11553,FCLK
377,b2738,Q46890,FCLPA
378,b2800,P0AB87,FCLPA
379,b0475,P23871,FCLT
380,b2431,P76536,FCLT
381,b1019,P31545,FCLT
382,b3892;b3893;b3894,P0AEL0;P0AAJ5;P32176,FDH4pp;FDH5pp
383,b1474;b1475;b1476,P24183;P0AAJ3;P0AEK7,FDH4pp;FDH5pp
384,b4209,P69506,FESR
385,b2895;b3924,P0ABY4;P28861,FLDR2
386,b0684;b3924,P61949;P28861,FLDR2
387,b0025,P0AG40,FMNAT;RBFK
388,b0937,P80644,FMNRx;FMNRx2
389,b2912,P0AC28,FOMETRi
390,b2374,P69902,FORCT
391,b4151;b4152;b4153;b4154,P0A8Q3;P0A8Q0;P0AC47;P00363,FRD2;FRD3
392,b2168,P0AEW9,FRUK
393,b3371,P0AC00,FRULYSDG
394,b4474,P45541,FRULYSE
395,b3374,P45543,FRULYSK
396,b1232,P37051,FTHFD
397,b1612,P0AC33,FUM
398,b1611,P05042,FUM
399,b3730,P0ACC7,G1PACT;UAGDP
400,b3885,P0A8Y3,G1PP
401,b1002,P19926,G1PPpp;GAL1PPpp
402,b2039,P37744,G1PTT
403,b3789,P61887,G1PTT
404,b0154,P23893,G1SAT
405,b2533,P0ADG4,G2PP;MI1PP
406,b4055,P0AE22,G2PPpp;NTD10pp;NTD11pp;NTD12pp;NTD1pp;NTD2pp;NTD3pp;NTD4pp;NTD5pp;NTD6pp;NTD7pp;NTD8pp;NTD9pp;PSP_Lpp;PTHRpp;R5PPpp;TYRPpp
407,b1094;b4041,P0A6A8;P0A7A7,G3PAT120;G3PAT140;G3PAT141;G3PAT160;G3PAT161;G3PAT180;G3PAT181
408,b3608,P0A6S7,G3PD2
409,b2241;b2242;b2243,P0A9C0;P13033;P0A996,G3PD5;G3PD6;G3PD7
410,b3426,P13035,G3PD5
411,b0675,P0AF24,G3PT;NTD2;NTD4;NTD7;NTD9;PYDXPP;R5PP
412,b0243,P07004,G5SD
413,b0678,P0A759,G6PDA
414,b1852,P0AC53,G6PDH2r
415,b3128,P39829,GALCTD
416,b4358,P39400,GALCTLO
417,b4478,Q6BF17,GALCTND
418,b0757,P0A6T3,GALKr
419,b0756,P0A9C3,GALM2pp
420,b4119,P06720,GALS3
421,b3628,P27127,GALT1
422,b1236,P0AEP3,GALUi
423,b2500,P08179,GARFT
424,b1415,P25553,GCALDD;LCADi
425,b2052,P32055,GDMANE;GOFUCR
426,b2784,P0AG20,GDPDPK;GTPDPK
427,b3650,P0AG24,GDPDPK;GDPTPDP;PPGPPDP
428,b2051,P32056,GDPMNH
429,b2467,P37128,GDPMNP
430,b3729,P17169,GF6PTA
431,b1298,P76038,GGGABAH
432,b1301,P37906,GGPTRCO
433,b1297,P78061,GGPTRCS
434,b3432,P07762,GLBRAN2
435,b0459,P77791,GLCATr;MALTATr
436,b0124,P15877,GLCDpp
437,b0837,P75804,GLCDpp
438,b3428,P0AC86,GLCP;GLCP2
439,b3417,P00490,GLCP;GLCP2;MLTP1;MLTP2;MLTP3
440,b3126,P23522,GLCRAL
441,b2788,Q46915,GLCRD
442,b2787,P0AES2,GLCRD
443,b3429,P0A6U8,GLCS1
444,b3631,P25740,GLCTR1
445,b3627,P27128,GLCTR2
446,b3626,P27129,GLCTR3
447,b3431,P15067,GLDBRAN2
448,b3430,P0A6V1,GLGC
449,b3870,P0A9C5,GLNS
450,b2091,P0A9S3,GLTPD
451,b0242,P0A7B5,GLU5K
452,b2688,P0A6W9,GLUCYS
453,b3517,P69908,GLUDC
454,b1493,P69910,GLUDC
455,b1761,P00370,GLUDy
456,b3212;b3213,P09831;P09832,GLUDy;GLUSy
457,b0485,P77454,GLUN
458,b1524,P0A6W0,GLUN
459,b2312,P0AG16,GLUPRT
460,b3967,P22634,GLUR
461,b1210,P0A6X1,GLUTRR
462,b2400,P04805,GLUTRS
463,b0507,P0AEP7,GLXCL
464,b3617,P0AB77,GLYAT
465,b0514,P77364,GLYCK
466,b3124,P23524,GLYCK2
467,b0116;b2903;b2904;b2905,P0A9P0;P33195;P0A6T9;P27248,GLYCL
468,b1033,P75913,GLYCLTDx;GLYCLTDy;HPYRRx;HPYRRy
469,b2979;b4467;b4468,P0AEP9;P52074;P52073,GLYCTO2;GLYCTO3;GLYCTO4
470,b3926,P0A6F3,GLYK
471,b0212,P0AC84,GLYOX
472,b1967,P31658,GLYOX3
473,b2053,P0AC88,GMAND
474,b3052,P76658,GMHEPAT;GMHEPK
475,b0200,P63228,GMHEPPA
476,b0104,P60560,GMPR
477,b2507,P04079,GMPS;GMPS2
478,b2029,P00350,GND
479,b3437,P46859,GNK
480,b4268,P39208,GNK
481,b3715,P31467,GNP
482,b3449,P10908,GPDDA1;GPDDA2;GPDDA3;GPDDA4;GPDDA5
483,b2239,P09394,GPDDA1pp;GPDDA2pp;GPDDA3pp;GPDDA4pp;GPDDA5pp
484,b1064,P0AC59,GRXR
485,b3610,P0AC62,GRXR
486,b1654,P0AC69,GRXR
487,b0849,P68688,GRXR
488,b0477,P0AEW6,GSNK;INSK
489,b2988,P0AES0,GSPMDA;GSPMDS
490,b3500,P06715,GTHOr
491,b1710,P06610,GTHPi;THIORDXi
492,b3447,P18956,GTHRDHpp
493,b2947,P04425,GTHS
494,b2153,P0A6T5,GTPCI
495,b1277,P0A7I7,GTPCII2
496,b3779,P25552,GTPDPDP
497,b2883,P76641,GUAD
498,b0125,P0A9M2,GUAPRT;HXPRT
499,b0238,P0A9M5,GUAPRT;HXPRT;XPPT
500,b3092,P0A8G3,GUI1;GUI2
501,b1395,P76083,HADPCOADH3
502,b4040,P0AGK1,HBZOPT
503,b0126,P61517,HCO3E
504,b0339,P0ABE9,HCO3E
505,b0261,Q47690,HCYSMT;HCYSMT2
506,b0428,P0AEA5,HEMEOS
507,b3630,P25741,HEPK1
508,b3625,P27240,HEPK2
509,b3621,P24173,HEPT1
510,b3620,P37692,HEPT2
511,b3632,P25742,HEPT3
512,b3623,P27242,HEPT4
513,b2104,P76423,HETZK
514,b2388,P0A6V8,HEX1
515,b0394,P23917,HEX7
516,b2020,P06988,HISTD
517,b2022,P06987,HISTP;IGPDH
518,b0349,P77044,HKNDDH;HKNTDH
519,b3805,P06983,HMBS
520,b2103,P76422,HMPK1;PMPK
521,b2418,P40191,HMPK1;PYDAMK;PYDXK;PYDXNK
522,b0352,P51020,HOPNTAL
523,b1396,P76084,HPACOAT;PACOAT
524,b0142,P26281,HPPK2
525,b0508,P30147,HPYRI
526,b1813,P43337,HPYRP
