BIGG,Fingerprint
4r5au,1011110010010111001111001110100010001001100110110001000111000100111001101010110001110001110110111101011011010010111011110001110100101111101010110001101011001001111101001001100000000101000001110111011001001110011110110101101011011110111111001111101110100011101101101000100111111111111111000100101001111000100000111101101101110010011111110100111010000010010000010100100101101011110001110000101111001001101010001000100010011011010001011011110100101101011010100001010101111000110010001011110000110111111000111010011111001010101101010110000000101111111000100100100000111100100101001000011000101101100010001010000011101010000000110100011111010100010000111000111101100011011010101111010111101010010010010111100111101100011111011000111110111101011000110111101011100001111111000000000110011100111101000111010101110001001011101111110010001000010010111110110101100011111000101100001010110111011011000100101011101011111111110001010010011000011001110000010110001001000111011010001101001011101011100010001101010010111110100001111001011011
56dura,0110000000000000100000000001010000000000000110000001001010000000100010000000000001000000000000000000000000000000100110000111010000001010010000100000100100000000000000100000100000000000000001010000010010000100011000000100000000000000000000000000000000000000001000000000000000011001000010000000010000000000000000000000000000001000010000001000001000000000000000000000001000000000000000000000000000100000000000000000110000001000000000001000001000000100000010000000001000000001000000000000100000000000000000000000001000000000000000001100000000000000100000000000000000000000011000010010000000000000010000000001000000000001000000000010000100000000000000110000000001000000010000000000000000001000000000000010000000000100000000010101001000000000001000000000100000010000100000000000000000000100000001000000000000100000110000000001000000000000001000001000000000000000000000100000000000000000000100101001000000010000000010100000000000000000000000000000000000000000100001101010000000000000100000000001000001000100000000000000000000100001
5aizc,1111111111111111101011111111111011101110111111111101011011111010011100110111111011011111001110111111011111111111101111111111111110111111111111101101111111101111011111110110111101111001110111111011011111111111011000110111011101011111110101011111100011111011011111101011111111111101011110111101111100011111101110111111111111111111111111101111110111011101111111111101110110111101101111111101111111110111110111111011111111100110110110101011111001111101111110011101101101111111111100011101101111111111110010111011111111111111000111011111100111111111011111101111111001111111101111111001111010101111111111101110001110110111010101011111100111110101111100010110111111100111111001111110011111011111111111100011111111101101110111111111001111011111110010111011111101101111111111101011111111111111111101110101101111101101111111110111111101111111111101111111111100111111111111010111110011111111001101011011011011111111011111100001110000110111011011111110101011110101111111111111111101111111000101010111111111111111101110111111111101111110
5aop,0000000000000000000000000000000000000000000000000001000000000100000000000000000001000000000000100000000000000000100000000000001001100000000000100000100000000001000000000000100000000001000000010000001010000000010000000000001010000000000000101000010000000000000000000000000000000001000010000100000000001001000000000001000000000000010000001010000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000010100100000000000000000000000000100000000000000000000000011000000000000000010001000000000000100000010000010000000000000010000000100000100000000000010000000000000000100000000000000000000000110000000000000000000000000001000000000000000000000000000100000000000000000000000010000100000000000000000000000000000000000000100010000000001000100000010000000100010001000101000000000000010000000000000000100000000000000000000001000000000000000000000000010110000100000000000000000001000000000000000000000000010000000000000010000000000001000000000000000001000000000000000001000000000000100000000000000001
5aprbu,1111110010010111001111001110101010001101100110110001001111000100111001101010110001110001110110111111011011010010111011110001111100101111101010110001101011001001111101001011101000000101000001110111011001011110011110110101111111011111111111001111101110100011101101101000100111111111111111000100101001111000100000111101101101110010011111110100111011011010011000110101100101101011110001110000101111101111111010001001100110011011010001011011110100101101011010110001110101111100110010001111110000110111111000111010011111001010101101010110000100101111111001100111100000111100100101001000011000101101100010001010001111101010000000110100111111010101010100111000111101100011011011101111010111111110010110010111100111101100011111011000111110111101011000111111101111101001111111001000011110011101111101000111110101110001001011101111110010001110110010111110111101100011111000101100011010110111011011000101101011101011111111110001110010011000011001110000110110001001100111011010001101001011101111100010011101110010111110100011111001011011
5apru,1111110111011111001111011110101010101101101111110001011111010100111001101010110101110101110110111111011111110010111011110111111100101111101111111011101011011001111101001111101010100101001011111111011001011110011111111111111111011111111111011111101110110111111101101111100111111111111111111101111001111000100111111111111101110011111111111100111011111010011000111101110101111011110001110010101111111111111010001011100110011111011011011111110100101111011010111101111101111100110110111111110011110111111010111010111111101011101111011110000101101111111101100111111000111100100101101111011010111101100111001011101111111011101100111101111111110111011101111000111101110011111011101111111111111111010110110111100111101101011111011000111111111111011010111111101111101011111111011000111110111111111111100111111101110001111111111111111010001110110010111111111111111011111110101100111011111111011011010111101011101011111111111001111011111101111011111100110110011101111111111110011101001111101111110010111101110010111111100111111011111011
5caiz,1111111111101110101011111111111010101110110111111001011011111010011101111111111111011110101111111111011101111110100111111111111110011111111111101101111111101101011100100110101011111001111111111111011101111011011010110110011111001111110101001111100110111011011110101011011111111101001110111001110001001101101010111011110101111111101111101100110111011101101111111111110111111001101011111101111111110111110011001011111111111111111010101111101001111111110100111101101101111111111100111101101111110101111110111011111111111110100110010111010111111111011111111011111001111111101101111001111010000111111110101110001111001111001101001111101111110101111100010110111101110111101001101110001111011111110110100011110111101101101011101111101101110111110011111011111101101111101011101010111111110111111101110101111111101101011110110111111101111111110111111111111000111111101111110101110011111111001101011011010010111111011111100100111001110101010111111110101110110100111111111111111101111101110101011111111101111111111111101111111101111111
5dglcn,1000000000000011000010001100000001000000000100000001000010000100100000000000110000000000010110100001000001000100000001000000010001100010110000100100100000000001000001001000000000010010000000110100001011000000010000000001011011000110000000000010000000100000010010000001010100000100000010000100010000000001000000001001110000000000101000101010010000000100000000001000000100111000010000000000000101100001000011000000010000101000000000000000100100101000001000000000100101000000100000000010000000010101001000100000000000000001000000100000010100000000010000001000001000100000100010100001000110000000000000100100000000000001010001110000000100000000110000000000000000000110001000000000010100000000100000000000000010000100000001000000001000110000000000000001100010100001011010100000000000000101000111100101100101010000010000011011010000111010000000010000010001001001100000000000000000011000011100000000000000001011100010000100000000001000110101010000000010011000000011000100000000000010000000000010001001001000000000000000110110011000
5dh4dglc,1000000000000011100000011100000000000000000100000001000010000100100000000000010000000000010110100100100001000100000000000000010001100000100000100000100000000001000001001000000000010000000000110000001011000000010000000001011011000110000000000000000000100000010000000001010100000100000010000100010000000001000000000001110000001000111000101010010000010110000000001000000100111000010000000000000100100001000000000000010000101000000000000000100100001000001000000000000100000000100000000000000000010110001000100000000000000001100000100000010100001000010000001000010000100000100010101001000111000000000000100100100000000001010000110000000100000100110000000000000000010110000000000000010100000000100000000000000010000101000001000000000001110000000000000001100010100000011010100000100000000101000011100101100101010000010000010011010001111010000000000000010001001001000000000000000000111000011100000000000000001011100100000100100000000010110001000000000010011000000001000100000000000010000000000010001001001100000000000000100110011100
5fthf,1111111011111111101101011111111011001111111110110011000111101100110111101111111111111011110111111111111110011011100111101011101011111100101110110011101111111101111101111111110111111110111111111111111011101111111110110111111011111111011111101111101110101111111111111011110111011111101011100101111111111111111111111111011100111011011111111110111111000111111001110110101111111001011101111101111111111001111111111011111101011011000001111011011111111101011111111011111111110111111011111111111101110111111101111101011111111110011101101110011100111110111100110111111011111111100111101001111110101111100001001111111011101110100111111111011011111101111111111011111111111011001110111111111111101011110011001111101111111101111111011101111011011111011110101111101011111111111111111111101111111111111001111111111101111101111111101111110111111110011111111111100111100111110001101111111110111101110111101100111101111111111111111111111011100001111001111111110110110001110010110010011101111111111111100011011101110110111111101011111110111111
5mta,1111111110110101111111111011011110001110110101110111011011111110111111111101111011111111011110111101111010111111101111111111111110001111111111111101111101111111111011110111101101111000110111111111111101111110111001110111111001111101111101001111101110111011011110101110011111111111111110101011101011011100101010101111111101111111111111101110110111111111101101111111010100111101101111111101111101100111111011011001111011111100110011100111111110111101111111101111111111011011111100011111101111111011111111111010101111111100100110011111001101111111001110001010111011111111101111111111111111001111111111101110101110010011100111101111111111111111101101111111111101110111100111111011111111011111110010111111111111111111111011101011011110111011111001110111101011111111111111101011110100110111011101110101111111111101111111111111110101111010111101111111111101111111111111110111111011111111011111011110110010011111011010111111111110111111001111111111111111111111111111110111111111111101001111111110111111111011111011011111111111101110
5mthf,1111111010111111101101011111111011001111111110110011000111101100110111101111111111111011110110111111110110011011100111101011101011101100101110110011101111111101111101111111110111111110111111110111011011101111111110110111101011111111011111101111101110101111111111111011110111011111101011100101111111111111111101111111011100111011011111111110111111000111111001110110101111111001011101111101111111111001111111111010111101011011000001111011011111111101011111111011111111110111111011111111111000110111111101111101011111111010011101101110011100111110111100110111111011111111100111101000111110101111100000001111111011001110100111111111011011111101111111111011111110111011001110111111111111101011110011001111101111111101111111011101111011010111011110101111101011110111111111101011101111111111111001111111111001111101111111101111110111111110011111111111100111100111110001101111111110111101110111101100111001111111111111111111111010100001111001111111110110110001110010110010011101111111111111100011001101010110111111101011111100111101
5mtr,0010010000010110000110011001000000000000011100010101010010011000000000000101101100100110000110100100100001100010000101001110010000000110101100001000100001001011000000010000000000100101000000100000001100000000010000000000001001000100010100000010000100000010011000011000000100100100000011101001100000110000000010001001100100000011100000001100000000010000000010000001010100101001100001010011100101100100011000010000100000110101000000011110110010001000001010001111001100000010010100000000100100111011000011100100001011110000000100010110100100010010000001000000011001100000101001000011000110001000100110010000000100010001000000100000000111000001100000010000100001010010000100000000000000110100000000000100000110101100000001001000001000010000111000000001101000110110000010000000010000000100001101101100011100000000100101010011010001100010001000000001010000001101101101110000100001010010001000001010000001001011000000010010010010110100100110111110000110000000001010001000000001000000001001111100011010001010111001000000101000101000
5pg35pg,1111111111101111101111011110111011111110111111110011011011111111111100111111111011111011111110111111111111111111101111111111111110111111111111111101111111111101111111111111111111111111110111111011111111111101111001110011111111101111111101101111100110111111111111111110011111111111111110101111111010111101111010101111111101101111101111101100110111111111101111111111111110111101101111111110111111110110111111011101111111111110110011101111111011111111111111111011111111111111110100011111111111111111111111111111101101111111101111011111101111110111111111101111111011111111111110111111111011001111111110111110101111011111101101111111111111111111111100111011111101110111101111101111111111111111110110110111111111111110111011111111101111110011111001111111101111111011111111101110111100111011111101111101111111111101011111111011111101111110111111111111111101111111111111111111111011111111111111011111110110011111011110111111110111111111011111111111111111110111111111111111111111101101101111111111111111111011111011111111111111110110
5prdmbz,1111111110101110101011111011111010111111100111110011111111011010111111110111111011111110001111101111011111111110001111111111111110111111111111101101111111111101111110100111101101111000110011111111011011111100010001110010111111101101110111101111101111111011011110110010011111111101001111111011111011101101110011101011110101101111101110111110111111111101101101111111110110111111101011111011111111110110111111111001111111111111111010111111111001111101111110011101101111010110110100111100001001110101111011111011111101111110011110010111001101111111011111001111111000110111101110011111011110101111111111100111101110000011010100001111110111110111111110110010110101110111111001111111011111111110111110110011011111101110110111101011011100110111111001111011111101101111101011101110111100111011111101111101100110101101111111110111011101111110110101111111111010111111111111111110111011111111101101011011111110001111111110100011111010110101111011111111100011110111111111101111111101101100111111111111111100111001100010111111111111110111
6hmhptpp,1111111110111111101111001010111111001111100111110110011101000100110111111011110011110111110001111101010010011100110111100111110100111101101010111111101011111001111111011011101000101110001111100111001001101111011111111101110101111110111111111111111111101101111101001011110111011111101111011110101101111010110101111101001101110010001111110110111010110110101100010100101111111010001011110111111111001111101011100101101111011111011011111011110110101101111011111001010011101110111111110011100010110011111100011010011101101011001101111110101000111110011001111110100100111101110111011001001000110110100101111010010111001110100100111111010111010100110100111001111100111111100111101001111101101111010110111101110111101110011111111101111001111111001100101110101111101111111111101010101110011111111001000111110101011001101111101111110110111010110110111110101101110011100100101000001000101011110011111101011011111010111111110011101110010000111001101111010100010111100011010100001101111111111111011011111111011001111111100000111011011011
6hmhpt,1011111110111101101101001010111111001011100110110110011101000100110101111010100011110011110001111101010010011100100011100101110100111100101010110111001011111001111101011011101000000110001010100111001000101111011101110101110001111110111111111111101111001101111101001011110111011111101111001110101101111010110001111101001100110010001111110110101010110100100100010100101011111000000011110111111111001111101011100101101101011111001001111011110100101101111011100001010011100010111011000011100010110011111100011000011101001011001100111110000000101110011000110110100100111100100111001001001000110110100100011010010011001110000100111101010011010100110100111001111100110011000010101001111101101011010010111101110111101100011111111101111001110111001100101110101011101111111110101010100110011110111001000111010001011001101111101111110110001000010110111110101101110011100000101000001000101011110011011100011011111010111111110011101110010000011001101011010100000101000011010100001101101111101111011011111111010001111111100000110001011001
6pgc,1100000000000011000011001100101000001100000110000001101010000100110000100010110001000000000110100011001001000110000000100000011001000111110000100100100000000001000100000010101000010010000000110100001011010000010000000000011111000111000000000010000000100000010000100001000111000100000110000100010000000001000000001001110001001010100000101010010001011100001000100001100100101001010001010000000111100110010000000001000100100010010000000001100100101001000000010000100101010100100000000110000000010101000000100010000000000011000000000000000100000100010001001011000000100000100010101001000010000000000000100000001100000001000001010000100100000001100100010000000000000010001001000000001100011100100100000000000011000100000001000000000001110000000000001001100110101000010011101000011000010101011111100101100100010000011100110011010000011110100000010000011001101000100000000000010010111000011100000001000000001001100100000100100000000000110000010000100010001000100011000100000000001010000100000010011001101000000000100010100010011000
6pgl,1110010000001111001111111100101001101101000110000001111010010100111000100110110001000001000110110111011001000110010000100110011001000111111010101100101000001111000111000010111001010010000000110101001011110000010010010101011111100111001010000010000001110100010000100001000111100100000110100101010000101101101010101011110001001011100000111011010001011110001000100011100100101101010001011100000111110111010000001001100100100010010010010001100100111001010000011000100101010100110101000110000000110101000010100010001011100011000000010010000101000110110101001011001100100001100010101001000110000010000011100100001100010001001001010100100100010101100100010000100011010010011111000010001110011100110100000111010011101100100001101101000000110000010001001011101110101010010011101101011000111101011111100101100100010000011101110011011000011110100000010000011001101100100100000000010010011110011100000001000000001011100100000100110000100100111010011100100010011000111011100100010001001010001101010010111001101000000000100111100010011000
8aonn,0000000000000001100000000000000000000000000000000001000000000100000000000000000001000010000000100101000000001000100000000001001001100000000000100000100000001001001000000000100000000000000000010000001010000000010000000100001010000000000000000000000000000000100000000000000000000001000010000100000000000001000000000001000000000000010000011000000000000000000000000000000000100000000000000100000000000001000000000100000000000000000000000010100100000000001000000000000000000000000000000000000000010000000100010000000000000000000000100000000000000000000010000000000000100001100000001000010000000000000000000000000001000000000000110011000000000000000000000000000010000000000000000000000101000001100000100000000011000100000000000000000000100000000000000000100010000000001001100000010000000100010001000101000000010000010000000000000000000000000000000000011001000000000000000000000001011100000100000100000000000001000000000000000000000000010000000001000010000000000001000000000000000001100000000000000001000000000000100000010000001001
aacoa,1111111111111111101111111011111111111110111111110111111011111111111111111111111111111111111110111111111011111111101111111111111110111111111111111111111101111111111111111111111101111101110111111111111111111110111101110111111111111101111101001111111111111011111111111111111111111111111110111011111111111100101110111111111101111111111111101111110111111111101111111111111110111111111111111101111111110111111111011001111111111111111011100111101111111101111111111111111111011111111100111111101111111111111111111011111101111111110111111111101101111111111111011011111010111111111101111111111011100111111111111111101111011011101111111111111111111111111101111111111111110111111111111011111111011111110111111111111111111111111011101111111111111111111001111111101111111111111111111111111110111111111101110101111111111111111110111111111111111110111101111111111101111111111111111111111011111111011111111111111010111111011110111111111110111111011111111111111111111111111111110111111111111101111111111111111111111111111110111111111111111111
aact,0000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000100000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000010000000100000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000001
acACP,0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000100000000010000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000100001100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000010000000000000000100
acac,0000000000000000000000000000000000000000000000000001000000000101000000000000010000000000000010100100000000000000000000000000000001100000000000000000000000000001000000000000000000000000000000010000000010000000011000000000001010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000100000100000000000100000000000000000000000000000000010000000110000000000000000000000000000000000000000000000000000000100000000000000000000000010000100000000000000000000000000000000000000100010000000000000100000000000000000000001000001000000000000010000000000000000000000000000000000000001000000000000000000000000010000000100000000010000000001000000000100000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000
acald,0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000
acanth,0011100000000101100000010110000100001000111000000011111000100001100010100001100011010001010101100111010111000000101000000000100000100000000100100100011000000001010000110001010001001000000110101111010000000100000110010010101100010000000100010000001101001101001011010000010000001100010111000100001100000010100001000111010000001110001100100001001010110001000010010110000000010001100111000101001100100001000101010110110000000001110000001101011001100000010000000000000000000111100010001001100000011000000101101000100001010000011001000100100000000000001100001100110000100000000101000001110000001000100010100100100010000010010100010101000001110011000100010001100111001000000000010011100001001101001101000001000010000110110101100001000010010010100100011001101001000010100001100001000100000010001000101000101001100001010110100010000010100011000000000011000010000011101001111100100011101001010111110000110010000000000000010010011001000100011000011100000011010000100000010000010010010110010000000010110101000100001000100000010000111001
accoa,1111111111111111101111111011111111111110111111110011111011111111111111111111111011111111111110111111111011111111101111111111111110111111111111111111111101111111111111111111111101111101110111111111111111111110111001110111111111111101111101001111111111111011111111111111111111111111111110111011111111111100101110111111111101111111111111101111110111111111101111111111111110111111111111111101111111110111111111011001111111111111111011100111101111111101111111111111111111011111111100111111101111111111111111111011111101111111110111011111101101111111111111011011111010111111111101111111111011100111111111111111101111011011101111111111111111111111111101111111111101110111111111111011111111011111110111111111111111111111111011101111111111111111111001111111101111111111111111111111111110111111111101110101111111111111111110111111111111111110111101111111111101111111111111111111111011111111011111111111111010111111011110111111111110111111011111111111111111111111111111110111111111111101111111111111111111111011111110111111111111111111
acetol,0000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000100000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000010000100000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000
acg5p,0100000110000011100011000011001010001100001000000001001000100100110100110001000001000010000000100010000000001000100100100011101001100101000010100000110101000001100100110010001101011000011000010000001011101110111000000010011110001000010000001100000000000000111000010100100011001101000111100100000000100101100000010001100000010001011000011011010000000000001000100000100000100001010101000101000010100110100000010000111101000010010000100011001110001000010001010000001101010101100000000000010100000110000000000010010000010110001001000000010000001000100011000010011011101000110000000000000100000101010000000010000000001001000000011011111100001010000100010110001010001010010001010000000101000000100000110000000011010101100010000001101001000100000000001000101110100000000001100000011100000110100001100101100001100010111100100100010011001010100000011000000001100010010010000100000000110100100100100001110011000001100000001000100000100001010001000001000010000000100001100001000000001011000100000010000001010000001000100110000000111001
acg5sa,0000000100000011100011000011000010000100001000000001000000000100110000000001000001000010000000100000000000001000100100100011101001100000000010100000110101000001000000110010000101011000011000010000001011100000111000000010001010000000010000001100000000000000111000010000100000001001000010100100000000000101100000010001100000010000011000011010010000000000000000100000000000000000010000000100000000000000100000010000100000000010000000100010001110000000010000000000001001000001000000000000010000000010000000000010010000010100001001000000010000000000000010000000011010101000100000000000000100000001000000000000000000001001000000010010111100001010000000010110001010001000000000000000000101000000100000110000000010000101100000000001001000000100000000000000101010100000000000100000000000000110100001000101000001100010110000000100000011001010000000001000000001000000010010000000000000010100100100100000110010000001100000000000000000100000010001000001000010000000000001100000000000001001000000000010000001010000000000000000000000111001
acgal1p,1100011100111111111111011111111010001111101110100001001010011100111010100110100101001010011110110110011011101111111110111111011110010111101110111111111101101001001101100111011011111101110001111111101111110101111001110101111101101101010110000111100011011010111111111111111111111101111111101001011001110101110111011111111001100000110000111111110111100010011111100010110101101101110001111101100111111110101101011010110111100111010001110011101110101001011011011001111101011101110100000111010011111101100011110111001011111111101101010110101101010111010111010011011100110101111001101101100110011011010010101111001000011111001101111110111110111111110100010000101111111011001101110010010101111100110110110010101111111100010111111011001010110000000110111011101100110010000011011001111000111111111111100101110101111011111101100111111110010110101101011100011000100101110110001000101100011010101100100101010001010111101101000000110101111100111010011111010011010110111011110010000101011001000101011111111111100101111110100111110110111001
acgal,1000011100111111101011011101011010000111001110000001000010011100111000000100100101001010001110110100011011101111111110101111010010000010101110101101111101001001000001100010010011111101110001101100101111110101111001110101011001101101010010000111000011010010111101011111110100111101111111101001001001100101110011011011111000100000110000111011010010100010010110000010110100101101110000110101100111111100101000011010110000100011000001110011101110101000011011001001111101001101010100000110010001111001000010110110001011110101001101010110101101000110010111010010001100110101101001100101100110011011010010001111001000011111001101111110111110010111110000000000101111001010000100010010010101101100110010110010101110011100000011111011000010110000000110000001101000100010000011010000110000100111110101100100010101111010111001000111110110010110001001011100011000000101110110000000001000011010101100100100010001000111101100000000010100110000111010011111000011000100011011110010000101011001000001011111101001100101111010100101100000111001
acgam1p,1100011100111111111111011111111010001111101110100001001010011100111010100110100101001010011110110110011011101111111110111111011110010111101110111111111101101001001101100111011011111101110001111111101111110101111001110101111101101101010110000111100011011010111111111111111111111101111111101001011001110101110111011111111001100000110000111111110111100010011111100010110101101101110001111101100111111110101101011010110111100111010001110011101110101001011011011001111101011101110100000111010011111101100011110111001011111111101101010110101101010111010111010011011100110101111001101101100110011011010010101111001000011111001101111110111110111111110100010000101111111011001101110010010101111100110110110010101111111100010111111011001010110000000110111011101100110010000011011001111000111111111111100101110101111011111101100111111110010110101101011100011000100101110110001000101100011010101100100101010001010111101101000000110101111100111010011111010011010110111011110010000101011001000101011111111111100101111110100111110110111001
acgam6p,1100011100111111101011011101111010101111001110000001011010011100111000100110100101001010001110110110011011101111111110101111011010000111101110101101111101001001000101100010111011111101110001101100101111110101111001110101011101101101010010000111000011010010111101111111110111111101111111101001011001101101110011011011111001100010110000111011010011111010011110100011110100101101110001110101100111111110111000011011110100100011010001110011101110101001011011011001111101011101110100000111010001111101000010110110001011110111001101010110101101000111010111010011001100110101101001101101100110011011010010001111001100011111001101111110111110010111110100010000101111001011001101010010011101111100110110110010101111111100000011111011000010110000000110001011111100101010000011011000111000110111111111100101110101111010111001100111111110010110101001011100011000100101110110000000011010011010101100100101010001000111101101000000110100110000111010011111100011010100111011110010000101011001000101011111111001100101111010100111100000111001
acgam,1000011100111111101011011101011010000111001110000001000010011100111000000100100101001010001110110100011011101111111110101111010010000010101110101101111101001001000001100010010011111101110001101100101111110101111001110101011001101101010010000111000011010010111101011111110100111101111111101001001001100101110011011011111000100000110000111011010010100010010110000010110100101101110000110101100111111100101000011010110000100011000001110011101110101000011011001001111101001101010100000110010001111001000010110110001011110101001101010110101101000110010111010010001100110101101001100101100110011011010010001111001000011111001101111110111110010111110000000000101111001010000100010010010101101100110010110010101110011100000011111011000010110000000110000001101000100010000011010000110000100111110101100100010101111010111001000111110110010110001001011100011000000101110110000000001000011010101100100100010001000111101100000000010100110000111010011111000011000100011011110010000101011001000001011111101001100101111010100101100000111001
acglc__D,1000010000101010001010111001001010100101001100001001101011010100001000000101110000001011000110100100011001100100011100010110010001000110101100001100101000001011000001000000010011110101000001100000001100100001010000000100011001100111001000000010000011010110000000011000100100101100001011101001100000101000000010101001110000000001100000011001000000011110000010000000100110001001000000010110100101101000110000111000100100100001000000011000100010111000010010001100001101000000010100000010000001111001000110100101001011110000100000010110101101000010110101000000001100110000101001100011000110000011100010110100000000010101100001110000001101010000100100000100101001010010000110000010001000100000010000001011000110001100000001101000000000010000100000000001101010110010000110100001010001100001010101100100010100010010010011010011011100010010001001000000010000000101100100000000000000011010001100100100000000000011000100000100010000100101111010011110000010000000010011001000000001011001001001110110101001000001111000000001100000010000
acglu,0000000100000011100011000011000010000100001000000001000000000100110000000001000001000010000000100000000000001000100100100011101001100000000010100000110101000001000000110010000101011000011000010000001011100110111000000010001010000000010000001100000000000000111000010000100000001001000011100100000000000101100000010001100000010001011000011010010000000000000000100000000000100000010000000101000000000000100000010000100000000010000000100010001110001000010000000000001001000101000000000000010000000010000000000010010000010100001001000000010000001000000010000000011010101000100000000000000100000001010000000010000000001001000000011010111100001010000000010110001010001000000000010000000101000000100000110000000010010101100010000001001001000100000000001000101010100000000000100000000000000110100001000101000001100010110000000100010011001010000000001000000001000000010010000000000000110100100100100000110010000001100000001000000000100000010001000001000010000000000001100000000000001001000000000010000001010000000000000000000000111001
acmalt,1000010000101010001010111001001010100101001100001001101011010100001000000101110000001011000110110100011001101100011100010110010001000110111100001100101000001011000001000000010011110101000011100000001100100001010000000100011001101111001000000010000011010110000000011000100100101100001011101001101000111000000010101001110000000001100000011001000000111110000010000000101110001001000100010110110101101000110000111000100100100001010001011000100010111000010010101100001101000000010100000010000001111001000110100101001011110010100000010110111101000010110101010100001110110000101001100011000110000011101010110100000000010101100001110000001101010000100100000100101001010010000110000110001000100000010000001011000110001100000001101000000000010100100000000011111010110010000110100001110001100001010101100100010100010010010011010011011100010010001001000000010100000101100100000101000000011110001100100110100000000011000100000100010000100101111010011110000010000000010011001000000001011001001001110111101001000001111000001001100000010000
acmanap,1100011100111111101011011101111010101111001110000001011010011100111000100110100101001010001110110110011011101111111110101111011010000111101110101101111101001001000101100010111011111101110001101100101111110101111001110101011101101101010010000111000011010010111101111111110111111101111111101001011001101101110011011011111001100010110000111011010011111010011110100011110100101101110001110101100111111110111000011011110100100011010001110011101110101001011011011001111101011101110100000111010001111101000010110110001011110111001101010110101101000111010111010011001100110101101001101101100110011011010010001111001100011111001101111110111110010111110100010000101111001011001101010010011101111100110110110010101111111100000011111011000010110000000110001011111100101010000011011000111000110111111111100101110101111010111001100111111110010110101001011100011000100101110110000000011010011010101100100101010001000111101101000000110100110000111010011111100011010100111011110010000101011001000101011111111001100101111010100111100000111001
acmana,1000011100111111101011011101011010000111001110000001000010011100111000000100100101001010001110110100011011101111111110101111010010000010101110101101111101001001000001100010010011111101110001101100101111110101111001110101011001101101010010000111000011010010111101011111110100111101111111101001001001100101110011011011111000100000110000111011010010100010010110000010110100101101110000110101100111111100101000011010110000100011000001110011101110101000011011001001111101001101010100000110010001111001000010110110001011110101001101010110101101000110010111010010001100110101101001100101100110011011010010001111001000011111001101111110111110010111110000000000101111001010000100010010010101101100110010110010101110011100000011111011000010110000000110000001101000100010000011010000110000100111110101100100010101111010111001000111110110010110001001011100011000000101110110000000001000011010101100100100010001000111101100000000010100110000111010011111000011000100011011110010000101011001000001011111101001100101111010100101100000111001
