,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
b2895;b3924,FLDR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0907,OHPBAT,PSERT,SDPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0452,FACOAE100,FACOAE120,FACOAE140,FACOAE141,FACOAE160,FACOAE161,FACOAE180,FACOAE181,FACOAE60,FACOAE80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0905,NTPP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2601,DDPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2558,MLTGY1pp,MLTGY2pp,MLTGY3pp,MLTGY4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2557,PRFGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2224,ACACT1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3417,GLCP,GLCP2,MLTP1,MLTP2,MLTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2552,NODOx,NODOy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2551,ALATA_D2,ALATA_L2,GHMT2r,THFAT,THRA,THRA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1064;b2675;b2676,RNDR1b,RNDR2b,RNDR3b,RNDR4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1059,MTRPOX,SARCOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2041,TDPGDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2040,TDPDRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0001,ACONIs,AOBUTDs,ATPHs,CBMD,DATPHs,DHGLYH,DHPTDCs2,FALGTHLs,FESD1s,FESD2s,G5SADs,GTPHs,METOX1s,METOX2s,MTHTHFSs,NADHHR,NADHHS,NADPHHR,NADPHHS,OMCDC,,,,,,,,,,,,,,,,,,,,,,
b0071;b0072,IPPMIa,IPPMIb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2727,NTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2049,MAN1PT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2048,PMANM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1054,EDTXS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3925,FBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0222,S7PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0221,ACOAD1f,ACOAD2f,ACOAD3f,ACOAD4f,ACOAD5f,ACOAD6f,ACOAD7f,ACOAD8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3926,GLYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3416,AMALT1,AMALT2,AMALT3,AMALT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1702,PPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3779,GTPDPDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0781;b0783,CPMPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2095;b2096,TGBPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2032,O16GLCT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2033,O16AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2034,O16GALFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2036,UDPGALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2037,O16AUNDtpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2038,TDPDRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2039,G1PTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2297,PTA2,PTAr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1317,PGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1606,DHFR,DHMPTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4196,KG6PDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4096;b4099;b4100;b4101,ARMEPNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3616,THRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1021;b1022,PUACGAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1278,PAPA120,PAPA120pp,PAPA140,PAPA140pp,PAPA141,PAPA141pp,PAPA160,PAPA160pp,PAPA161,PAPA161pp,PAPA180,PAPA180pp,PAPA181,PAPA181pp,PGPP120,PGPP120pp,PGPP140,PGPP140pp,PGPP141,PGPP141pp,PGPP160,PGPP160pp,PGPP161,PGPP161pp,PGPP180,PGPP180pp,PGPP181,PGPP181pp,UDCPDP,UDCPDPpp,,,,,,,,,,,,
b4198,RBP4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0651,CYTDH,URIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1281,OMPDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0837,GLCDpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1064;b2762,PAPSR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1285,CDGUNPD,LDGUNPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1092;b1094,MCOATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1288,EAR100x,EAR100y,EAR120x,EAR120y,EAR121x,EAR121y,EAR140x,EAR140y,EAR141x,EAR141y,EAR160x,EAR160y,EAR161x,EAR161y,EAR180x,EAR180y,EAR181x,EAR181y,EAR40x,EAR40y,EAR60x,EAR60y,EAR80x,EAR80y,EGMEACPR,EPMEACPR,,,,,,,,,,,,,,,,
b3034,ADPRDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0311,CHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
